  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    4.470     10      -16.2     -16.5       1.7322     0.0033     1.6950     0.0040    0.03723    0.00112 
    4.475     10      -16.0     -16.2       1.7369     0.0009     1.6972     0.0017    0.03967    0.00075 
    4.480     10      -16.2     -16.3       1.7354     0.0007     1.6977     0.0011    0.03763    0.00055 
    4.485     10      -16.0     -16.0       1.7322     0.0012     1.6971     0.0015    0.03517    0.00032 
    4.490     10      -16.2     -16.1       1.7295     0.0013     1.6958     0.0021    0.03367    0.00080 
    4.495     10      -16.4     -16.2       1.7291     0.0007     1.6966     0.0018    0.03247    0.00112 
    4.500     10      -16.3     -16.1       1.7314     0.0006     1.6999     0.0014    0.03157    0.00080 
    4.505     10      -16.2     -15.9       1.7352     0.0004     1.7051     0.0010    0.03007    0.00076 
    4.510     10      -16.2     -15.8       1.7354     0.0006     1.6750     0.0535    0.02975    0.00064 
    4.515     10      -16.1     -15.7       1.7286     0.0009     1.6988     0.0038    0.02977    0.00289 
    4.520     10      -16.1     -15.6       1.7169     0.0023     1.6877     0.0048    0.02913    0.00284 
    4.525     10      -16.1     -15.6       1.7149     0.0028     1.6865     0.0039    0.02837    0.00170 
    4.530     10      -16.0     -15.5       1.7242     0.0025     1.6907     0.0020    0.03350    0.00292 
    4.535     10      -16.0     -15.5       1.7296     0.0004     1.6924     0.0019    0.03727    0.00155 
    4.540     10      -15.8     -15.2       1.7329     0.0009     1.6903     0.0021    0.04257    0.00134 
    4.545     10      -16.1     -15.5       1.7316     0.0009     1.6891     0.0022    0.04247    0.00135 
    4.550     10      -15.9     -15.3       1.7272     0.0008     1.6881     0.0013    0.03910    0.00079 
    4.555     10      -15.9     -15.8       1.7189     0.0019     1.6827     0.0022    0.03620    0.00035 
    4.560     10      -16.0     -16.5       1.7068     0.0028     1.6730     0.0038    0.03377    0.00115 
    4.565     10      -16.0     -16.6       1.6965     0.0011     1.6446     0.0354    0.03150    0.00042 
    4.580     10      -15.9     -16.9       1.7031     0.0003     1.6449     0.0494    0.02970    0.00000 
    4.585     10      -16.1     -17.2       1.7160     0.0021     1.6583     0.0460    0.03230    0.00042 
    4.590     10      -16.2     -17.3       1.7201     0.0021     1.6900     0.0020    0.03010    0.00017 
    4.595     10      -16.1     -17.0       1.7157     0.0014     1.6875     0.0002    0.02820    0.00141 
    4.600     10      -16.2     -16.8       1.7119     0.0008     1.6540     0.0543    0.02645    0.00021 
    4.605     10      -16.0     -16.4       1.7187     0.0029     1.6926     0.0013    0.02607    0.00267 
    4.610     10      -16.2     -16.5       1.7311     0.0019     1.7033     0.0017    0.02773    0.00025 
    4.615     10      -16.1     -16.3       1.7392     0.0016     1.7080     0.0018    0.03120    0.00030 
    4.620     10      -16.2     -16.3       1.7387     0.0019     1.7055     0.0020    0.03317    0.00012 
    4.625     10      -16.1     -16.2       1.7343     0.0024     1.6988     0.0019    0.03550    0.00056 
    4.635     10      -16.0     -15.9       1.7343     0.0016     1.7249     0.0535    0.04025    0.00361 
